@43.496376,16.363832,09.05.2014,11:52:00
@43.497084,16.363006,09.05.2014,11:52:00
&43.503768,16.382898,09.05.2014,11:52:00
$43.507044,16.382560,09.05.2014,11:52:00
#43.504972,16.383068,09.05.2014,11:52:00
#43.50501,16.383033,09.05.2014,11:52:03
#43.505063,16.38301,09.05.2014,11:52:06
#43.50512,16.382983,09.05.2014,11:52:09
#43.505172,16.382965,09.05.2014,11:52:12
#43.505235,16.382955,09.05.2014,11:52:15
#43.505272,16.382943,09.05.2014,11:52:17
#43.505332,16.382928,09.05.2014,11:52:20
#43.505368,16.382918,09.05.2014,11:52:22
#43.50543,16.3829,09.05.2014,11:52:25
#43.505488,16.382877,09.05.2014,11:52:28
#43.505508,16.382818,09.05.2014,11:52:31
#43.505488,16.382757,09.05.2014,11:52:34
#43.505452,16.382723,09.05.2014,11:52:37
#43.505403,16.382727,09.05.2014,11:52:40
#43.505353,16.382763,09.05.2014,11:52:43
#43.505302,16.3828,09.05.2014,11:52:46
#43.505245,16.382828,09.05.2014,11:52:49
#43.50519,16.382862,09.05.2014,11:52:52
#43.505137,16.382887,09.05.2014,11:52:55
#43.505072,16.382912,09.05.2014,11:52:58
#43.50502,16.382922,09.05.2014,11:53:01
#43.504988,16.38291,09.05.2014,11:53:04
#43.504967,16.382872,09.05.2014,11:53:07
#43.504942,16.382845,09.05.2014,11:53:09
#43.504903,16.382828,09.05.2014,11:53:12
#43.504855,16.382835,09.05.2014,11:53:15
#43.504805,16.382855,09.05.2014,11:53:18
#43.504762,16.38287,09.05.2014,11:53:21
#43.504712,16.382892,09.05.2014,11:53:24
#43.504668,16.382912,09.05.2014,11:53:27
#43.504622,16.382925,09.05.2014,11:53:30
#43.504563,16.382932,09.05.2014,11:53:33
#43.504498,16.382933,09.05.2014,11:53:36
#43.504428,16.382928,09.05.2014,11:53:39
#43.504362,16.382925,09.05.2014,11:53:42
#43.50429,16.382923,09.05.2014,11:53:45
#43.504225,16.382915,09.05.2014,11:53:48
#43.504158,16.38291,09.05.2014,11:53:51
#43.504087,16.382905,09.05.2014,11:53:54
#43.504025,16.3829,09.05.2014,11:53:57
#43.503955,16.382878,09.05.2014,11:54:00
