@43.484307,16.177723,08.05.2014,12:00:09
@43.485451,16.177455,08.05.2014,12:00:09
&43.499160,16.199460,08.05.2014,12:00:09
$43.501038,16.197130,08.05.2014,12:00:09
#43.501578,16.19774,08.05.2014,12:00:09
#43.50158,16.197782,08.05.2014,12:00:12
#43.501557,16.197835,08.05.2014,12:00:15
#43.501517,16.197878,08.05.2014,12:00:18
#43.501477,16.197905,08.05.2014,12:00:21
#43.501442,16.197925,08.05.2014,12:00:24
#43.501408,16.197938,08.05.2014,12:00:27
#43.501377,16.197953,08.05.2014,12:00:30
#43.501338,16.197963,08.05.2014,12:00:33
#43.501312,16.197967,08.05.2014,12:00:36
#43.501285,16.197973,08.05.2014,12:00:39
#43.50126,16.19797,08.05.2014,12:00:42
#43.501232,16.19796,08.05.2014,12:00:45
#43.501202,16.197958,08.05.2014,12:00:48
#43.501173,16.197957,08.05.2014,12:00:51
#43.501152,16.197953,08.05.2014,12:00:54
#43.501132,16.197952,08.05.2014,12:00:57
#43.50111,16.197955,08.05.2014,12:01:00
#43.501092,16.197952,08.05.2014,12:01:03
#43.501078,16.19795,08.05.2014,12:01:05
#43.501058,16.197943,08.05.2014,12:01:08
#43.501043,16.19794,08.05.2014,12:01:10
#43.501032,16.197937,08.05.2014,12:01:12
#43.50102,16.197933,08.05.2014,12:01:15
#43.50101,16.197938,08.05.2014,12:01:18
#43.500993,16.19795,08.05.2014,12:01:21
#43.500973,16.197972,08.05.2014,12:01:24
#43.50096,16.197998,08.05.2014,12:01:27
#43.500945,16.198028,08.05.2014,12:01:30
#43.500927,16.198057,08.05.2014,12:01:33
#43.500905,16.198085,08.05.2014,12:01:36
#43.500882,16.198107,08.05.2014,12:01:39
#43.50086,16.19812,08.05.2014,12:01:41
#43.50083,16.198145,08.05.2014,12:01:44
#43.50081,16.19816,08.05.2014,12:01:46
#43.500773,16.198187,08.05.2014,12:01:49
#43.500738,16.19822,08.05.2014,12:01:52
#43.500698,16.198255,08.05.2014,12:01:55
#43.500658,16.198288,08.05.2014,12:01:58
#43.500613,16.198325,08.05.2014,12:02:01
#43.500567,16.198357,08.05.2014,12:02:04
#43.50052,16.198395,08.05.2014,12:02:07
#43.500472,16.198427,08.05.2014,12:02:10
#43.500417,16.198457,08.05.2014,12:02:13
#43.500362,16.198493,08.05.2014,12:02:16
#43.500297,16.198525,08.05.2014,12:02:19
#43.50024,16.198573,08.05.2014,12:02:22
#43.500178,16.198627,08.05.2014,12:02:25
#43.50014,16.198667,08.05.2014,12:02:27
#43.500083,16.198722,08.05.2014,12:02:30
#43.500023,16.198767,08.05.2014,12:02:33
#43.499962,16.198822,08.05.2014,12:02:36
#43.499902,16.198877,08.05.2014,12:02:39
#43.499865,16.198905,08.05.2014,12:02:41
#43.4998,16.198913,08.05.2014,12:02:44
#43.499755,16.198905,08.05.2014,12:02:46
#43.499693,16.1989,08.05.2014,12:02:49
#43.499633,16.198892,08.05.2014,12:02:52
#43.499578,16.19889,08.05.2014,12:02:55
#43.499525,16.198898,08.05.2014,12:02:58
#43.499467,16.198907,08.05.2014,12:03:01
#43.499407,16.198908,08.05.2014,12:03:04
#43.499347,16.19891,08.05.2014,12:03:07
#43.499283,16.198908,08.05.2014,12:03:10
#43.49922,16.198908,08.05.2014,12:03:13
#43.499162,16.198907,08.05.2014,12:03:16
#43.499105,16.198907,08.05.2014,12:03:19
#43.499045,16.198915,08.05.2014,12:03:22
#43.498985,16.198922,08.05.2014,12:03:25
#43.498923,16.198935,08.05.2014,12:03:28
#43.498857,16.198947,08.05.2014,12:03:31
#43.498788,16.19895,08.05.2014,12:03:34
#43.498727,16.198957,08.05.2014,12:03:37
#43.498662,16.198965,08.05.2014,12:03:40
#43.498593,16.198973,08.05.2014,12:03:43
#43.498525,16.198978,08.05.2014,12:03:46
#43.498457,16.198983,08.05.2014,12:03:49
#43.498388,16.198983,08.05.2014,12:03:52
#43.498317,16.198995,08.05.2014,12:03:55
#43.49827,16.198995,08.05.2014,12:03:57
#43.498197,16.199003,08.05.2014,12:04:00
#43.498125,16.199005,08.05.2014,12:04:03
#43.498057,16.199008,08.05.2014,12:04:06
#43.49799,16.19901,08.05.2014,12:04:09
#43.497922,16.199012,08.05.2014,12:04:12
#43.497853,16.199013,08.05.2014,12:04:15
#43.497787,16.199017,08.05.2014,12:04:18
#43.49772,16.199027,08.05.2014,12:04:21
#43.497652,16.19904,08.05.2014,12:04:24
#43.497583,16.19905,08.05.2014,12:04:27
#43.497515,16.199063,08.05.2014,12:04:30
#43.49745,16.199078,08.05.2014,12:04:33
#43.497383,16.199093,08.05.2014,12:04:36
#43.49732,16.199108,08.05.2014,12:04:39
#43.497253,16.19912,08.05.2014,12:04:42
#43.497188,16.199132,08.05.2014,12:04:45
#43.497122,16.199147,08.05.2014,12:04:48
#43.497052,16.199162,08.05.2014,12:04:51
#43.49699,16.199168,08.05.2014,12:04:54
#43.496922,16.199178,08.05.2014,12:04:57
#43.49685,16.199182,08.05.2014,12:05:00
#43.49678,16.199182,08.05.2014,12:05:03
#43.496705,16.19918,08.05.2014,12:05:06
#43.496633,16.199178,08.05.2014,12:05:09
#43.496558,16.199175,08.05.2014,12:05:12
#43.496482,16.199167,08.05.2014,12:05:15
#43.496408,16.199163,08.05.2014,12:05:18
#43.49634,16.199165,08.05.2014,12:05:21
#43.49627,16.19917,08.05.2014,12:05:24
#43.496198,16.199168,08.05.2014,12:05:27
#43.496127,16.199165,08.05.2014,12:05:30
#43.496057,16.199158,08.05.2014,12:05:33
#43.49599,16.199148,08.05.2014,12:05:36
#43.495923,16.199143,08.05.2014,12:05:39
#43.495855,16.199137,08.05.2014,12:05:42
#43.495787,16.199133,08.05.2014,12:05:45
#43.495713,16.19913,08.05.2014,12:05:48
#43.495643,16.199132,08.05.2014,12:05:51
#43.49558,16.199132,08.05.2014,12:05:54
#43.49551,16.199132,08.05.2014,12:05:57
#43.495443,16.199128,08.05.2014,12:06:00
#43.495377,16.199122,08.05.2014,12:06:03
#43.495312,16.19912,08.05.2014,12:06:06
#43.495247,16.19912,08.05.2014,12:06:09
#43.495182,16.199113,08.05.2014,12:06:12
#43.495117,16.199105,08.05.2014,12:06:15
#43.495048,16.199098,08.05.2014,12:06:18
#43.494975,16.199102,08.05.2014,12:06:21
#43.494903,16.199098,08.05.2014,12:06:24
#43.494833,16.199097,08.05.2014,12:06:27
#43.494762,16.199083,08.05.2014,12:06:30
#43.49469,16.19906,08.05.2014,12:06:33
#43.494647,16.199048,08.05.2014,12:06:35
#43.49458,16.19904,08.05.2014,12:06:38
#43.49454,16.199032,08.05.2014,12:06:40
#43.494475,16.19902,08.05.2014,12:06:43
#43.494408,16.199002,08.05.2014,12:06:46
