&59.933353,30.36018,24.06.2014,17:14:07,A
$60.035202,30.331718,24.06.2014,18:45:04,A
#59.933895,30.359467,24.06.2014,14:57:17,A
#59.933723,30.359604,24.06.2014,14:57:18,A
#59.9337,30.359657,24.06.2014,14:57:20,A
#59.933445,30.36,24.06.2014,14:57:21,A
#59.933456,30.360058,24.06.2014,14:57:22,A
#59.933434,30.360151,24.06.2014,14:57:23,A
#59.933437,30.36025,24.06.2014,14:57:24,A
#59.933437,30.36025,24.06.2014,14:57:25,A
#59.933437,30.36025,24.06.2014,14:57:26,A
#59.933437,30.36025,24.06.2014,14:57:27,A
#59.933434,30.360445,24.06.2014,14:57:28,A
#59.933434,30.360468,24.06.2014,14:57:29,A
#59.933434,30.36049,24.06.2014,14:57:30,A
#59.933437,30.36052,24.06.2014,14:57:31,A
#59.93344,30.360554,24.06.2014,14:57:32,A
#59.933445,30.360575,24.06.2014,14:57:33,A
#59.93345,30.360579,24.06.2014,14:57:34,A
#59.933453,30.360596,24.06.2014,14:57:35,A
#59.933456,30.3606,24.06.2014,14:57:36,A
#59.933456,30.360619,24.06.2014,14:57:37,A
#59.933456,30.360634,24.06.2014,14:57:38,A
#59.933456,30.360643,24.06.2014,14:57:39,A
#59.93346,30.360662,24.06.2014,14:57:40,A
#59.933464,30.360682,24.06.2014,14:57:41,A
#59.93347,30.3607,24.06.2014,14:57:42,A
#59.933475,30.360712,24.06.2014,14:57:43,A
#59.933483,30.360718,24.06.2014,14:57:44,A
#59.933483,30.360733,24.06.2014,14:57:45,A
#59.933483,30.360739,24.06.2014,14:57:46,A
#59.93347,30.360758,24.06.2014,14:57:47,A
#59.933456,30.360788,24.06.2014,14:57:48,A
#59.933456,30.360788,24.06.2014,14:57:49,A
#59.933456,30.360788,24.06.2014,14:57:50,A
#59.933456,30.360788,24.06.2014,14:57:51,A
#59.933456,30.360788,24.06.2014,14:57:52,A
#59.933456,30.360788,24.06.2014,14:57:53,A
#59.933456,30.360788,24.06.2014,14:57:54,A
#59.933456,30.360788,24.06.2014,14:57:55,A
#59.933456,30.360788,24.06.2014,14:57:56,A
#59.933456,30.360788,24.06.2014,14:57:57,A
#59.933456,30.360788,24.06.2014,14:57:58,A
#59.933456,30.360788,24.06.2014,14:57:59,A
#59.933456,30.360788,24.06.2014,14:58:00,A
#59.933456,30.360788,24.06.2014,14:58:01,A
#59.933403,30.360622,24.06.2014,14:58:02,A
#59.93339,30.360603,24.06.2014,14:58:03,A
#59.93339,30.360601,24.06.2014,14:58:04,A
#59.933384,30.360607,24.06.2014,14:58:05,A
#59.933384,30.360607,24.06.2014,14:58:06,A
#59.933365,30.360596,24.06.2014,14:58:07,A
#59.933357,30.360582,24.06.2014,14:58:08,A
#59.933342,30.36056,24.06.2014,14:58:09,A
#59.933327,30.360548,24.06.2014,14:58:10,A
#59.933323,30.36053,24.06.2014,14:58:11,A
#59.933315,30.360535,24.06.2014,14:58:12,A
#59.93331,30.360525,24.06.2014,14:58:13,A
#59.933315,30.360518,24.06.2014,14:58:14,A
#59.93331,30.360523,24.06.2014,14:58:15,A
#59.93331,30.360533,24.06.2014,14:58:16,A
#59.93331,30.360533,24.06.2014,14:58:17,A
